Epoch,Train_Loss,Val_Loss,Train_Acc,Val_Acc,Val_F1,Val_AUC,Latency_ms_mean_b1,Latency_ms_p50_b1,Latency_ms_p90_b1,Latency_ms_p95_b1,Throughput_ips_b32,Params_M,MACs,FLOPs
1,0.8535953996622044,0.622057961381,70.60430180949129,77.21691678035471,64.54827693529724,91.51563055968327,,,,,,,,
2,0.4984428132681743,0.554971193489821,81.42710822806418,80.21828103683492,64.54827693529724,91.51563055968327,,,,,,,,
3,0.3917607135422852,0.5268896209157031,85.38750426766815,82.26466575716235,64.54827693529724,91.51563055968327,,,,,,,,
4,0.2911133265689663,0.5646597950354867,89.34790030727211,79.53615279672579,64.54827693529724,91.51563055968327,,,,,,,,
5,0.2124557618213736,0.609783938397532,93.00102424035506,80.76398362892223,64.54827693529724,91.51563055968327,,,,,,,,
6,0.15579536476213,0.7234223860761394,94.98122226015704,82.26466575716235,64.54827693529724,91.51563055968327,,,,,,,,
7,0.139943700040812,0.713366272656814,95.83475588938204,81.85538881309687,64.54827693529724,91.51563055968327,,,,,,,,
8,0.1108481814355953,0.7384771879600442,96.96142027995904,81.58253751705321,64.54827693529724,91.51563055968327,,,,,,,,
9,0.0909933852963149,0.7683202423479246,96.96142027995904,80.21828103683492,64.54827693529724,91.51563055968327,,,,,,,,
10,0.0897037843039826,0.8046674080516981,97.30283373164905,81.58253751705321,64.54827693529724,91.51563055968327,,,,,,,,
11,0.0780024683791334,0.8201543708210406,97.54182314783202,81.17326057298772,64.54827693529724,91.51563055968327,,,,,,,,
12,0.0734400584453554,0.8166300589623658,97.91737794469104,80.35470668485675,64.54827693529724,91.51563055968327,,,,,,,,
13,0.0655763888701229,0.855819482518279,97.81495390918404,82.12824010914052,64.54827693529724,91.51563055968327,,,,,,,,
14,0.0522584213834741,0.8808915181004483,98.39535677705702,81.03683492496589,64.54827693529724,91.51563055968327,,,,,,,,
15,0.0502589244861155,0.8466536026933918,98.42949812222602,80.90040927694406,64.54827693529724,91.51563055968327,,,,,,,,
16,0.0503254199284128,0.9085313321455664,98.258791396381,82.26466575716235,64.54827693529724,91.51563055968327,,,,,,,,
17,0.0453839811822905,0.9368678279544996,98.49778081256402,82.67394270122783,64.54827693529724,91.51563055968327,,,,,,,,
18,0.0496052300061463,0.9860579824965932,98.53192215773302,82.26466575716235,64.54827693529724,91.51563055968327,,,,,,,,
19,0.0447069095629874,0.9123372513314952,98.463639467395,81.03683492496589,64.54827693529724,91.51563055968327,,,,,,,,
20,0.0461216382922746,0.9288049871506898,98.361215431888,80.0818553888131,64.54827693529724,91.51563055968327,,,,,,,,
final,,,98.36121543188801,80.0818553888131,,,10.9379,10.8702,11.2673,11.5573,1179.59,4.014,413871424.0,827742848.0
