Epoch,Train_Loss,Val_Loss,Train_Acc,Val_Acc,Val_F1,Val_AUC,Latency_ms_mean_b1,Latency_ms_p50_b1,Latency_ms_p90_b1,Latency_ms_p95_b1,Throughput_ips_b32,Params_M,MACs,FLOPs
1,1.239285040160884,0.98751344628956,58.82553772618641,69.16780354706685,54.56265210928704,90.49966396476358,,,,,,,,
2,0.7984539487439654,0.8536262278971465,77.22772277227723,72.98772169167803,58.91773298694558,92.6753221078684,,,,,,,,
3,0.5799373650680417,0.896022766828537,83.71457835438716,76.53478854024557,62.63196728716972,92.15376068491052,,,,,,,,
4,0.4307996556162834,1.0035034120082855,88.11881188118812,78.44474761255115,63.85050038330306,91.31864305911,,,,,,,,
5,0.3437174682545921,1.0051992069119993,89.65517241379311,78.71759890859481,64.34259553489554,91.76357414505424,,,,,,,,
6,0.2693285615709813,1.1185167043105415,92.93274155001708,80.21828103683492,65.57013569576547,91.64464060173584,,,,,,,,
7,0.1878149583125891,1.2699176086031871,94.81051553431205,79.80900409276944,64.37850751956333,90.34358227255368,,,,,,,,
8,0.1501482701050522,1.354281043228896,96.44930010242405,82.12824010914052,67.3714863003806,90.48486457699344,,,,,,,,
9,0.1412046474769063,1.5311313919399097,96.51758279276204,81.58253751705321,67.19418183458602,89.4266802951622,,,,,,,,
10,0.1231703225968648,1.4507242622582808,96.68828951860704,81.9918144611187,66.34573785986714,90.244340559177,,,,,,,,
11,0.1035067036889655,1.4379340941491334,97.43939911232502,81.58253751705321,66.08024054798248,91.58744958542948,,,,,,,,
12,0.105089914418109,1.5039562479309414,97.40525776715604,82.12824010914052,68.0764636665283,91.1063726650928,,,,,,,,
13,0.0943922291600914,1.485119034414706,97.26869238648004,81.44611186903138,66.76465694487803,90.72263045164026,,,,,,,,
14,0.0860846840584164,1.5538265433000482,97.74667121884602,80.76398362892223,65.70868053841536,91.31107643595972,,,,,,,,
15,0.1037922705948838,1.7171086254327192,97.47354045749402,80.6275579809004,64.65188027850752,90.10074117009908,,,,,,,,
16,0.107523434066578,1.5549855309983958,96.96142027995904,79.80900409276944,64.67875762844967,91.71144571707173,,,,,,,,
17,0.0790167398264874,1.6490326096182284,97.84909525435302,81.9918144611187,67.48644346716806,91.09017968741524,,,,,,,,
18,0.0834541735441788,1.6538232862949371,97.74667121884602,80.49113233287858,65.31468157939628,91.77897366891456,,,,,,,,
19,0.0675777824489278,1.717139888068904,98.19050870604302,80.21828103683492,64.29596214994446,90.8072717336555,,,,,,,,
20,0.0672834894655312,1.7168438745581585,98.156367360874,78.03547066848567,59.706908241646616,90.49457474307434,,,,,,,,
final,,,98.15636736087401,78.03547066848567,59.706908241646616,90.49457474307434,10.7841,10.6792,11.1176,11.4383,1245.79,4.014,413871424.0,827742848.0
