train_loss,val_loss,train_acc,val_acc,train_f1,val_f1
1.6634742161160485,1.5835409387234614,0.44505494505494503,0.5593451568894953,0.3033527007276322,0.3404788750026598
1.462207766839285,1.4006656995411622,0.5989010989010989,0.5811732605729877,0.4007030844235321,0.353192584253814
1.355583614194381,1.3736571844408,0.6538461538461539,0.7066848567530696,0.47436772541849204,0.5332834195992091
1.2463690802358287,1.27952526178399,0.7228708791208791,0.7557980900409277,0.568466826688013,0.5870044493455829
1.1409072882488507,1.2160061163596534,0.7815934065934066,0.7244201909959073,0.6563396263601797,0.5855283547577126
1.0776483158724997,1.2015867963494253,0.8186813186813187,0.7953615279672579,0.7026673380046518,0.6616570795172352
0.9852878046996278,1.16008433573568,0.8550824175824175,0.7844474761255116,0.7663882329061034,0.6431519929346017
0.903612921530169,1.1969529341545468,0.8832417582417582,0.800818553888131,0.8086764643055749,0.6452246704660412
0.8236736396588983,1.2731830867218288,0.9258241758241759,0.810368349249659,0.8742600784452806,0.661829302730568
0.7801792891044265,1.231665963365469,0.9399038461538461,0.8035470668485676,0.9018068386112436,0.6559272994363746
