Epoch,Train_Loss,Val_Loss,Train_Acc,Val_Acc,Val_F1,Val_AUC
1,1.459367776694505,1.093621956265491,58.484124274496416,69.57708049113234,54.149882708699515,88.89697252181152
2,0.8850843647251958,0.8811342223830845,74.53055650392625,76.6712141882674,61.46393942508651,92.69530630303981
3,0.5999586306836294,0.9162870606650477,84.02185046090815,74.21555252387449,59.794764344380056,92.69248721646667
4,0.4395429838610732,1.0506830837415613,86.78729941959713,77.48976807639836,62.4480112295825,92.88710829643183
5,0.33473914902171364,1.0928118850873865,90.71355411403209,77.35334242837654,63.97739713226622,92.2895569579574
6,0.23354837589937708,1.3243369550808617,93.17173096620007,78.71759890859481,64.49999932438992,90.85682090794748
7,0.18054893301071032,1.600059960199439,94.87879822465005,79.39972714870396,60.39131986572194,89.78677462887231
8,0.16892645717598498,1.378216160380322,95.32263571184704,78.71759890859481,64.18261940182859,91.79592673647043
9,0.13543717513549264,1.607664020165153,96.31273472174804,79.26330150068213,63.213136896334696,91.38588014588984
10,0.13154915191293898,1.8092304519985034,96.72243086377603,78.85402455661665,59.63109728016648,88.59389684092143
11,0.0875838217376124,1.5305921318738356,97.61010583817003,79.94542974079127,65.71625295717347,91.19409056591114
12,0.09719116323242855,1.729431336340697,97.30283373164903,78.99045020463848,62.78814966136409,90.30118867182073
13,0.11221620704189104,1.7151909302110258,96.96142027995903,81.03683492496589,66.99096018692387,90.91007414960067
14,0.0804133778994741,1.8750201852425286,97.50768180266303,80.35470668485675,65.12023392809895,89.19273173805865
15,0.08815233406873987,1.7485551393550376,97.54182314783202,81.44611186903138,66.63833393588392,90.92529605609037
16,0.07216529804914583,1.8894214992937834,97.74667121884602,80.90040927694406,64.78629944405252,90.78319456723658
17,0.07183063594351077,2.059143496596295,98.15636736087401,81.58253751705321,64.60657285916106,90.23442005379347
18,0.07688070830646092,1.9926874482113381,97.61010583817003,81.03683492496589,62.78342172178777,90.31125077205841
19,0.060072071560526914,2.041725104269774,97.95151928986002,81.71896316507504,66.14223185783861,89.3461031669909
20,0.06533890287391841,1.9680373655713124,98.01980198019803,81.58253751705321,66.71723690628927,90.07231196052793
